user_name,star,comment_time,geo_ip,vote,short
影志,5,2013-12-27 00:15:44,,7132,"""最孤独的人最亲切，受过伤的人总是笑的最灿烂，因为他们不愿让身边的人承受一样的痛苦""从素媛到素望，生活有阳光才有希望，可可梦是全片最治愈点，哭成傻逼。“我总想睡一觉就能回到过去，可早上起来发现，还是没有任何变化，太伤心了...以前奶奶说，哎哟要死要死了，这大概就是人活在世的意义”"
慈,4,2013-10-09 20:24:49,,4413,“受过伤害的人总是笑得最开心的，因为他们不愿意让身边的人承受一样的痛苦。”
呱呱,5,2013-12-29 19:27:21,,6385,爸爸知道女儿介意排便器的塑料声为她准备装满塑料包装纸的糖果小包，女儿知道一直跟着身后的可可梦是爸爸。
Never-land,4,2013-12-30 23:38:24,,3087,太催泪了，素媛和爸爸之间的很多细节都特别感人，素媛住院时，爸爸笨拙的在电脑上搜索“如何和女儿交流”；出院后爸爸悄悄在她床头放上装满糖的小包让她背着来掩盖便袋的声音；还有素媛不再和爸爸亲近，他只能扮成可可梦哄她开心，每次想到笑嘻嘻的可可梦背后是一个无奈的父亲就会觉得特别心酸。
bird,5,2013-12-31 07:04:00,,5465,1，现实还是那么恶心，家人和童话让我们活下去。2，如果心灵得不到安慰，再公正的判决也终是悲剧。
风雨骑老师,4,2013-12-31 13:56:17,,2502,自认为很难被韩国电影感动，但本片爸爸第一次在女儿面前脱下卡通头套那里真是止不住地掉眼泪。跟之前的《熔炉》题材很接近，但是没有借此来过多抨击司法或者人性，更多地还是表现苦难过后对于心灵的疗伤，工厂和家长的捐款，孩子们的贴画，包括最后第二个孩子出世，都象征了生命的不屈与永恒
PsychoBabble,5,2013-12-29 18:10:01,,3250,难得的是没有利用亲情过度煽情，也没有过分纠缠于法律漏洞，避开了韩影最爱用的两个梗，而是更多的聚焦在创伤之后一家人的心理状态变化。重创之后生活始终继续，但你能选择如何面对。此片的所有感动点是来源于细节中和一家人共同努力渡过难关表现出来的积极心态，感动之余，倍感欣慰。有几处台词真心好
桃桃林林,3,2013-12-26 22:04:01,,1041,看前面的惨剧其实会略反感，总觉得在消费别人的苦难。好在故事的重心在治愈与亲情，这也是最感人的部分，尤其父亲第二次扮人偶，太催泪了。
兔子小i,5,2013-12-27 14:51:48,,2329,爸爸和小女孩演的都太好了，爸爸的基友一家人真不错，这样的人在世上少有了。还好孩子没有受到欺负，能有人正确的引导她，帮助她。人渣们都该死~！我哭死了
盖茨,4,2013-12-24 22:29:40,,1634,简直要疯了，强奸未成年的都去死啊啊啊啊。片子虽然虐的要死，但是中间有很多让人特别暖心的细节，包括同事同学朋友的那些帮忙，父亲对女儿那种深沉的爱，让人觉得是可以战胜悲剧的。今年青龙奖给了这部最佳影片也是肯定了它的积极意义
Doublebitch,5,2014-01-02 23:05:57,,1864,最感人的是素媛回家时那一墙的小纸条。
赵金鍂,5,2013-12-26 23:17:35,,914,负能量正能量负能量正能量负能量正能量负能量正能量负能量正能量，已虐哭…
贝塔先生,5,2013-12-26 00:14:48,,466,泪流满面。
东篱,5,2018-02-11 09:14:04,,368,韩国电影在对人性方面的表达一直都很好，这部电影我看一次哭一次，很压抑，我们国家对这种事件的关注太少了，每次都是不了了之。
的确良少,5,2021-12-18 09:30:33,,214,电影《素媛》原型罪犯，2020年12月正式出狱的赵斗淳，于2021年12月17号被非法闯入的男子A先生用钝器爆揍了一顿，虽然没有受致命伤，但69岁的他还是被打进了医院，目前还在接受治疗。
momo,5,2016-09-10 21:35:08,,358,再也不敢看这种类型的电影了，犯人死刑n次都不够
赫恩曼尼,5,2014-11-28 04:14:32,,254,"""最孤独的人最亲切，受过伤的人总是笑的最灿烂，因为他们不愿让身边的人承受一样的痛苦"""
接十分钟的吻,5,2018-01-20 02:28:07,,320,全程都是泪点，小男孩为了不让小女孩在受到伤害，和几个同学一起默默跟在后面，朋友、同学为了鼓励她，在小女孩家的门上贴满了祝福，爸爸为了消磨带给小女孩的记忆，带上很热的玩偶衣服，逗她开心保护她，小女孩说活着就是为了死去，顿时泪崩
图图饶命,5,2017-01-03 10:10:24,,231,看了两次哭了两次听说真实事件中的小女孩16岁时自杀了…愿天堂没有伤害愿善良的人儿都被这世界温柔以待
